"Product Name","Product SKU","Template Name","Option Type","Option Title","Option ID","Option Value ID","Option Value Title",Price,"Price Type","Option Value SKU","Option Value Qty","Option Value Manage Stock","Option Value Cost","Option Value Description","Fast Ship","Custom Order","Tooltip Image","Tooltip Image Type","Base Image","Base Image Type","Images Data",mageworx_option_type_id
,,,drop_down,,73132,422756,Orange,0.0000,fixed,RUGI-16,0.00,0,0.00,,0,1,/customoptions/83/5452/5/Orange.jpg,image,/customoptions/83/5452/5/Orange.jpg,image,"[{""value"":""/customoptions/83/5452/5/Orange.jpg"",""option_type_image_id"":""454586"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",0796a926-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422757,"Dark red",0.0000,fixed,RUGI-18,0.00,0,0.00,,0,1,/customoptions/83/5452/6/Dark-red.jpg,image,/customoptions/83/5452/6/Dark-red.jpg,image,"[{""value"":""/customoptions/83/5452/6/Dark-red.jpg"",""option_type_image_id"":""454587"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",0797396e-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422758,Red,0.0000,fixed,RUGI-29,0.00,0,0.00,,0,1,/customoptions/83/5452/7/Red.jpg,image,/customoptions/83/5452/7/Red.jpg,image,"[{""value"":""/customoptions/83/5452/7/Red.jpg"",""option_type_image_id"":""454588"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",0797ca0b-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422759,Linen,0.0000,fixed,RUGI-40,0.00,0,0.00,,0,1,/customoptions/83/5452/8/Linen.jpg,image,/customoptions/83/5452/8/Linen.jpg,image,"[{""value"":""/customoptions/83/5452/8/Linen.jpg"",""option_type_image_id"":""454589"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",07985a76-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422760,Gray,0.0000,fixed,RUGI-42,0.00,0,0.00,,0,1,/customoptions/83/5452/9/Gray.jpg,image,/customoptions/83/5452/9/Gray.jpg,image,"[{""value"":""/customoptions/83/5452/9/Gray.jpg"",""option_type_image_id"":""454590"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",0798e823-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422761,Earth,0.0000,fixed,RUGI-47,0.00,0,0.00,,0,1,/customoptions/83/5452/10/Earth.jpg,image,/customoptions/83/5452/10/Earth.jpg,image,"[{""value"":""/customoptions/83/5452/10/Earth.jpg"",""option_type_image_id"":""454591"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079973ae-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422762,Pewter,0.0000,fixed,RUGI-49,0.00,0,0.00,,0,1,/customoptions/83/5452/11/Pewter.jpg,image,/customoptions/83/5452/11/Pewter.jpg,image,"[{""value"":""/customoptions/83/5452/11/Pewter.jpg"",""option_type_image_id"":""454592"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079a02c3-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422763,Cement,0.0000,fixed,RUGI-50,0.00,0,0.00,,0,1,/customoptions/83/5452/12/Cement.jpg,image,/customoptions/83/5452/12/Cement.jpg,image,"[{""value"":""/customoptions/83/5452/12/Cement.jpg"",""option_type_image_id"":""454593"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079a9424-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422764,Greige,0.0000,fixed,RUGI-52,0.00,0,0.00,,0,1,/customoptions/83/5452/13/Greige.jpg,image,/customoptions/83/5452/13/Greige.jpg,image,"[{""value"":""/customoptions/83/5452/13/Greige.jpg"",""option_type_image_id"":""454594"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079b2127-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422765,Green,0.0000,fixed,RUGI-64,0.00,0,0.00,,0,1,/customoptions/83/5452/14/Green.jpg,image,/customoptions/83/5452/14/Green.jpg,image,"[{""value"":""/customoptions/83/5452/14/Green.jpg"",""option_type_image_id"":""454595"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079bac03-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422766,Blue,0.0000,fixed,RUGI-71,0.00,0,0.00,,0,1,/customoptions/83/5452/15/Blue.jpg,image,/customoptions/83/5452/15/Blue.jpg,image,"[{""value"":""/customoptions/83/5452/15/Blue.jpg"",""option_type_image_id"":""454596"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079c45e5-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422767,"Dark blue",0.0000,fixed,RUGI-76,0.00,0,0.00,,0,1,/customoptions/83/5452/16/Dark-blue.jpg,image,/customoptions/83/5452/16/Dark-blue.jpg,image,"[{""value"":""/customoptions/83/5452/16/Dark-blue.jpg"",""option_type_image_id"":""454597"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079cd4f9-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422768,"Light grey",0.0000,fixed,RUGI-96,0.00,0,0.00,,0,1,/customoptions/83/5452/17/Light-grey.jpg,image,/customoptions/83/5452/17/Light-grey.jpg,image,"[{""value"":""/customoptions/83/5452/17/Light-grey.jpg"",""option_type_image_id"":""454598"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079d6b51-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422769,"Dark grey",0.0000,fixed,RUGI-97,0.00,0,0.00,,0,1,/customoptions/83/5452/18/Dark-grey.jpg,image,/customoptions/83/5452/18/Dark-grey.jpg,image,"[{""value"":""/customoptions/83/5452/18/Dark-grey.jpg"",""option_type_image_id"":""454599"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079e009e-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422770,Black,0.0000,fixed,RUGI-99,0.00,0,0.00,,0,1,/customoptions/83/5452/19/Black.jpg,image,/customoptions/83/5452/19/Black.jpg,image,"[{""value"":""/customoptions/83/5452/19/Black.jpg"",""option_type_image_id"":""454600"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",079e9500-6023-11e8-af31-0219d58c2290
"Sandlake 42"" round marble tulip dining table",nj-001341,,drop_down,"Select a stone:",73988,429251,"White Carrara Marble",0.0000,fixed,,0.00,0,0.00,,1,1,/customoptions/6/4171/1/White-Marble.jpg,image,/customoptions/6/4171/1/White-Marble.jpg,image,"[{""value"":""/customoptions/6/4171/1/White-Marble.jpg"",""option_type_image_id"":""460721"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",44296ec9-4bc4-11e8-af31-0219d58c2290
