group_id,group_title,product_id,sku,aanddmodern_product_id
49,01A Aeon Grade B,4941,08F-FMI1129,260
77,22S Shenzhen Brother 1: Cashmere blend,4941,08F-FMI1129,260
81,22S Shenzhen Brother 3: Camira,4941,08F-FMI1129,260
89,COM & RUSH,4941,08F-FMI1129,260
89,COM & RUSH,4941,08F-FMI1129,260
29,16M Modway Furniture Leather Series,3675,08F-FMI1131,261
50,01A Aeon Standard Leather,3675,08F-FMI1131,261
79,22S Shenzhen Brother 5: Italian leather (standard),3675,08F-FMI1131,261
89,COM & RUSH,3675,08F-FMI1131,261
89,COM & RUSH,3675,08F-FMI1131,261
29,16M Modway Furniture Leather Series,5737,08F-FMI1144,262
50,01A Aeon Standard Leather,5737,08F-FMI1144,262
51,01A Aeon Cow Pony Hide Leather (premium),5737,08F-FMI1144,262
78,22S Shenzhen Brother 6: Aniline leather (premium),5737,08F-FMI1144,262
79,22S Shenzhen Brother 5: Italian leather (standard),5737,08F-FMI1144,262
80,22S Shenzhen Brother 7: Waxy leather (premium),5737,08F-FMI1144,262
89,COM & RUSH,5737,08F-FMI1144,262
89,COM & RUSH,5737,08F-FMI1144,262
78,22S Shenzhen Brother 6: Aniline leather (premium),3987,08F-FMI2205,263
79,22S Shenzhen Brother 5: Italian leather (standard),3987,08F-FMI2205,263
80,22S Shenzhen Brother 7: Waxy leather (premium),3987,08F-FMI2205,263
89,COM & RUSH,3987,08F-FMI2205,263
89,COM & RUSH,3987,08F-FMI2205,263
57,All - black and white,6003,08F-FMI4000,264
58,08F Finemod Imports Egg,5467,08F-FMI9011,266
39,22S Shenzhen Brother 2: Cashmere,4361,08F-FMI9229,267
40,22S Shenzhen Brother 4: Camira Hemp,4361,08F-FMI9229,267
57,All - black and white,4361,08F-FMI9229,267
77,22S Shenzhen Brother 1: Cashmere blend,4361,08F-FMI9229,267
78,22S Shenzhen Brother 6: Aniline leather (premium),4361,08F-FMI9229,267
79,22S Shenzhen Brother 5: Italian leather (standard),4361,08F-FMI9229,267
80,22S Shenzhen Brother 7: Waxy leather (premium),4361,08F-FMI9229,267
81,22S Shenzhen Brother 3: Camira,4361,08F-FMI9229,267
82,22S Shenzhen Brother 8: Cow Pony Hide leather (premium),4361,08F-FMI9229,267
89,COM & RUSH,4361,08F-FMI9229,267
89,COM & RUSH,4361,08F-FMI9229,267
51,01A Aeon Cow Pony Hide Leather (premium),5860,08F-FMI9238,269
39,22S Shenzhen Brother 2: Cashmere,3683,08F-FMI9250,270
40,22S Shenzhen Brother 4: Camira Hemp,3683,08F-FMI9250,270
77,22S Shenzhen Brother 1: Cashmere blend,3683,08F-FMI9250,270
81,22S Shenzhen Brother 3: Camira,3683,08F-FMI9250,270
89,COM & RUSH,3683,08F-FMI9250,270
89,COM & RUSH,3683,08F-FMI9250,270
57,All - black and white,6258,08-FMI10059,271
